Id,Gender,Customer Type,Type of Travel,Class,Age,Female,Loyal Customer,Business Travel,Eco Class,Business Class,Flight Distance,Wifi Service,Departure/Arrival,Online Booking,Gate Location,Food and Drink,Online Boarding,Seat Comfort,Inflight Entertainment,On-board Service,Leg Room,Baggage,Checkin Service,Inflight Service,Cleanliness,Departure Delay,Arrival Delay,Satisfied,Satisfaction
12312,Female,Loyal Customer,Business travel,Eco,53,1,1,1,1,0,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,1,satisfied
48372,Male,Loyal Customer,Personal Travel,Eco,12,0,1,0,1,0,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,0,dissatisfied
51477,Female,Loyal Customer,Business travel,Business,39,1,1,1,0,1,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,1,satisfied
84204,Female,Loyal Customer,Business travel,Business,55,1,1,1,0,1,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,1,satisfied
70990,Female,disloyal Customer,Business travel,Business,32,1,0,1,0,1,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,0,dissatisfied
101991,Female,Loyal Customer,Personal Travel,Eco,40,1,1,0,1,0,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,0,dissatisfied
87447,Female,disloyal Customer,Business travel,Business,42,1,0,1,0,1,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,0,dissatisfied
16112,Male,disloyal Customer,Business travel,Eco,24,0,0,1,1,0,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,1,satisfied
16172,Male,Loyal Customer,Business travel,Business,22,0,1,1,0,1,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,0,dissatisfied
106558,Female,Loyal Customer,Business travel,Business,28,1,1,1,0,1,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,1,satisfied
11536,Female,Loyal Customer,Business travel,Eco Plus,36,1,1,1,0,0,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,0,dissatisfied
47773,Female,Loyal Customer,Business travel,Eco,62,1,1,1,1,0,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,1,satisfied
70521,Female,Loyal Customer,Business travel,Business,60,1,1,1,0,1,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,1,satisfied
96283,Female,Loyal Customer,Personal Travel,Eco,59,1,1,0,1,0,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,0,dissatisfied
117993,Female,Loyal Customer,Business travel,Business,49,1,1,1,0,1,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,1,satisfied
74703,Female,Loyal Customer,Personal Travel,Eco,44,1,1,0,1,0,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,0,dissatisfied
110840,Female,Loyal Customer,Personal Travel,Eco Plus,58,1,1,0,0,0,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,0,dissatisfied
88249,Male,disloyal Customer,Business travel,Business,24,0,0,1,0,1,444,4,1,4,2,2,4,2,2,5,3,5,3,5,2,20,32,1,satisfied
125877,Female,Loyal Customer,Business travel,Eco,53,1,1,1,1,0,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,1,satisfied
83968,Male,Loyal Customer,Business travel,Eco,56,0,1,1,1,0,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,0,dissatisfied
122719,Female,Loyal Customer,Business travel,Business,30,1,1,1,0,1,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,1,satisfied
3949,Male,disloyal Customer,Business travel,Business,27,0,0,1,0,1,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,0,dissatisfied
45542,Male,Loyal Customer,Business travel,Business,27,0,1,1,0,1,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,1,satisfied
43742,Female,Loyal Customer,Personal Travel,Eco,67,1,1,0,1,0,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,0,dissatisfied
122093,Female,Loyal Customer,Personal Travel,Eco,32,1,1,0,1,0,130,3,1,3,3,4,3,5,4,2,2,4,5,3,4,3,4,0,dissatisfied
121454,Male,disloyal Customer,Business travel,Eco,36,0,0,1,1,0,331,2,1,2,1,1,2,1,1,4,3,4,1,3,1,0,0,0,dissatisfied
738,Male,Loyal Customer,Business travel,Business,44,0,1,1,0,1,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,1,satisfied
75235,Female,Loyal Customer,Personal Travel,Eco,70,1,1,0,1,0,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,0,dissatisfied
88653,Female,Loyal Customer,Personal Travel,Eco,55,1,1,0,1,0,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,0,dissatisfied
26594,Male,Loyal Customer,Business travel,Eco,66,0,1,1,1,0,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,1,satisfied
38339,Female,Loyal Customer,Business travel,Business,19,1,1,1,0,1,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,1,satisfied
46063,Female,Loyal Customer,Personal Travel,Eco Plus,53,1,1,0,0,0,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,0,dissatisfied
27957,Male,Loyal Customer,Business travel,Business,22,0,1,1,0,1,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,0,dissatisfied
17270,Female,Loyal Customer,Personal Travel,Eco,69,1,1,0,1,0,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,0,dissatisfied
87976,Female,Loyal Customer,Business travel,Business,42,1,1,1,0,1,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,1,satisfied
31640,Female,Loyal Customer,Business travel,Business,41,1,1,1,0,1,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,1,satisfied
41461,Female,Loyal Customer,Personal Travel,Business,53,1,1,0,0,1,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,0,dissatisfied
15143,Male,Loyal Customer,Business travel,Business,35,0,1,1,0,1,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,0,dissatisfied
78136,Female,Loyal Customer,Personal Travel,Business,54,1,1,0,0,1,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,0,dissatisfied
120433,Male,Loyal Customer,Business travel,Business,44,0,1,1,0,1,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,1,satisfied
41440,Female,disloyal Customer,Business travel,Eco Plus,26,1,0,1,0,0,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,0,dissatisfied
15963,Female,Loyal Customer,Personal Travel,Eco,44,1,1,0,1,0,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,0,dissatisfied
64303,Female,disloyal Customer,Business travel,Eco,24,1,0,1,1,0,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,0,dissatisfied
3608,Female,Loyal Customer,Personal Travel,Eco,54,1,1,0,1,0,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,0,dissatisfied
7744,Male,Loyal Customer,Business travel,Eco Plus,42,0,1,1,0,0,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,0,dissatisfied
21276,Male,disloyal Customer,Business travel,Eco,36,0,0,1,1,0,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,0,dissatisfied
58576,Female,Loyal Customer,Business travel,Business,61,1,1,1,0,1,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,1,satisfied
53888,Female,Loyal Customer,Personal Travel,Eco,50,1,1,0,1,0,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,0,dissatisfied
10980,Male,Loyal Customer,Business travel,Business,27,0,1,1,0,1,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,1,satisfied
54151,Male,Loyal Customer,Business travel,Business,55,0,1,1,0,1,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,0,dissatisfied
115641,Male,disloyal Customer,Business travel,Eco,21,0,0,1,1,0,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,0,dissatisfied
58584,Female,Loyal Customer,Personal Travel,Business,31,1,1,0,0,1,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,0,dissatisfied
50472,Female,disloyal Customer,Business travel,Eco,37,1,0,1,1,0,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,0,dissatisfied
102623,Female,Loyal Customer,Business travel,Business,50,1,1,1,0,1,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,1,satisfied
31533,Female,Loyal Customer,Personal Travel,Eco,21,1,1,0,1,0,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,0,dissatisfied
42287,Female,Loyal Customer,Business travel,Eco,53,1,1,1,1,0,329,1,1,1,3,1,3,3,4,4,1,4,4,4,1,0,0,0,dissatisfied
70467,Male,Loyal Customer,Business travel,Business,45,0,1,1,0,1,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,1,satisfied
20461,Female,disloyal Customer,Business travel,Eco,42,1,0,1,1,0,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,0,dissatisfied
113346,Male,Loyal Customer,Business travel,Business,59,0,1,1,0,1,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,1,satisfied
115566,Female,Loyal Customer,Business travel,Eco,54,1,1,1,1,0,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,0,dissatisfied
119896,Female,Loyal Customer,Business travel,Business,46,1,1,1,0,1,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,1,satisfied
88853,Female,Loyal Customer,Personal Travel,Eco Plus,52,1,1,0,0,0,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,0,dissatisfied
24895,Female,Loyal Customer,Personal Travel,Eco,38,1,1,0,1,0,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,0,dissatisfied
31122,Male,Loyal Customer,Business travel,Business,35,0,1,1,0,1,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,1,satisfied
91231,Female,Loyal Customer,Personal Travel,Eco,41,1,1,0,1,0,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,0,dissatisfied
61426,Female,disloyal Customer,Business travel,Business,40,1,0,1,0,1,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,0,dissatisfied
68873,Female,disloyal Customer,Business travel,Eco,36,1,0,1,1,0,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,0,dissatisfied
125701,Male,Loyal Customer,Personal Travel,Eco,67,0,1,0,1,0,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,0,dissatisfied
94999,Female,Loyal Customer,Personal Travel,Eco,38,1,1,0,1,0,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,1,satisfied
56694,Female,Loyal Customer,Personal Travel,Eco,50,1,1,0,1,0,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,0,dissatisfied
62010,Male,Loyal Customer,Business travel,Business,50,0,1,1,0,1,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,1,satisfied
95868,Male,Loyal Customer,Business travel,Business,54,0,1,1,0,1,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,1,satisfied
123064,Male,Loyal Customer,Business travel,Business,56,0,1,1,0,1,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,1,satisfied
103418,Male,Loyal Customer,Personal Travel,Eco,38,0,1,0,1,0,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,0,dissatisfied
73456,Female,Loyal Customer,Personal Travel,Eco,7,1,1,0,1,0,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,0,dissatisfied
8851,Female,Loyal Customer,Business travel,Business,32,1,1,1,0,1,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,1,satisfied
64241,Male,Loyal Customer,Business travel,Eco,45,0,1,1,1,0,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,0,dissatisfied
81723,Male,disloyal Customer,Business travel,Eco,25,0,0,1,1,0,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,0,dissatisfied
88237,Female,Loyal Customer,Business travel,Business,45,1,1,1,0,1,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,1,satisfied
50619,Male,Loyal Customer,Personal Travel,Eco,34,0,1,0,1,0,209,3,4,1,1,1,1,1,1,1,5,5,2,3,1,0,0,0,dissatisfied
54444,Male,Loyal Customer,Personal Travel,Eco Plus,20,0,1,0,0,0,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,0,dissatisfied
64765,Female,disloyal Customer,Business travel,Eco,36,1,0,1,1,0,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,0,dissatisfied
15941,Male,disloyal Customer,Business travel,Eco,36,0,0,1,1,0,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,0,dissatisfied
14965,Male,Loyal Customer,Business travel,Business,27,0,1,1,0,1,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,1,satisfied
36897,Male,Loyal Customer,Personal Travel,Eco,40,0,1,0,1,0,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,0,dissatisfied
127954,Male,Loyal Customer,Business travel,Business,31,0,1,1,0,1,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,1,satisfied
27872,Male,Loyal Customer,Business travel,Eco Plus,25,0,1,1,0,0,680,1,5,1,2,1,1,1,1,3,1,4,5,5,1,0,0,1,satisfied
35854,Male,Loyal Customer,Business travel,Business,42,0,1,1,0,1,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,1,satisfied
14527,Female,Loyal Customer,Business travel,Eco,45,1,1,1,1,0,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,1,satisfied
47021,Male,Loyal Customer,Personal Travel,Business,59,0,1,0,0,1,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,0,dissatisfied
11224,Male,Loyal Customer,Personal Travel,Eco,34,0,1,0,1,0,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,0,dissatisfied
3921,Female,Loyal Customer,Personal Travel,Eco,22,1,1,0,1,0,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,0,dissatisfied
69463,Male,Loyal Customer,Personal Travel,Eco,21,0,1,0,1,0,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,0,dissatisfied
47050,Male,Loyal Customer,Business travel,Business,26,0,1,1,0,1,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,0,dissatisfied
21970,Male,Loyal Customer,Business travel,Business,37,0,1,1,0,1,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,1,satisfied
30046,Male,Loyal Customer,Business travel,Business,38,0,1,1,0,1,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,1,satisfied
1256,Female,Loyal Customer,Personal Travel,Eco,17,1,1,0,1,0,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,0,dissatisfied
73813,Male,Loyal Customer,Personal Travel,Eco Plus,15,0,1,0,0,0,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,0,dissatisfied
110928,Female,Loyal Customer,Personal Travel,Eco,53,1,1,0,1,0,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,0,dissatisfied
102981,Male,disloyal Customer,Business travel,Business,39,0,0,1,0,1,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,0,dissatisfied
61571,Male,Loyal Customer,Business travel,Business,40,0,1,1,0,1,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,1,satisfied
3796,Female,disloyal Customer,Business travel,Eco Plus,28,1,0,1,0,0,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,0,dissatisfied
73906,Female,disloyal Customer,Business travel,Business,27,1,0,1,0,1,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,0,dissatisfied
74090,Female,Loyal Customer,Business travel,Business,41,1,1,1,0,1,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,1,satisfied
76645,Female,Loyal Customer,Personal Travel,Eco,7,1,1,0,1,0,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,0,dissatisfied
100462,Male,disloyal Customer,Business travel,Business,48,0,0,1,0,1,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,0,dissatisfied
54164,Male,Loyal Customer,Business travel,Eco,13,0,1,1,1,0,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,0,dissatisfied
6147,Female,Loyal Customer,Business travel,Business,48,1,1,1,0,1,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,1,satisfied
1262,Female,Loyal Customer,Personal Travel,Eco,49,1,1,0,1,0,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,0,dissatisfied
20310,Male,disloyal Customer,Business travel,Business,26,0,0,1,0,1,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,1,satisfied
46896,Male,Loyal Customer,Business travel,Business,22,0,1,1,0,1,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,1,satisfied
7237,Female,Loyal Customer,Business travel,Business,53,1,1,1,0,1,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,0,dissatisfied
44293,Female,Loyal Customer,Business travel,Eco,43,1,1,1,1,0,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,1,satisfied
52496,Male,Loyal Customer,Business travel,Business,56,0,1,1,0,1,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,1,satisfied
68263,Female,Loyal Customer,Personal Travel,Eco,69,1,1,0,1,0,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,0,dissatisfied
5289,Male,Loyal Customer,Personal Travel,Eco,59,0,1,0,1,0,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,1,satisfied
109359,Female,Loyal Customer,Business travel,Business,56,1,1,1,0,1,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,1,satisfied
94988,Male,Loyal Customer,Personal Travel,Eco,11,0,1,0,1,0,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,1,satisfied
53605,Female,Loyal Customer,Business travel,Eco,25,1,1,1,1,0,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,1,satisfied
11005,Female,disloyal Customer,Business travel,Eco,29,1,0,1,1,0,158,4,1,4,1,2,4,2,2,1,5,2,2,2,2,0,0,1,satisfied
14794,Female,Loyal Customer,Business travel,Eco,48,1,1,1,1,0,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,1,satisfied
49480,Female,Loyal Customer,Business travel,Business,42,1,1,1,0,1,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,1,satisfied
120440,Male,disloyal Customer,Business travel,Eco,15,0,0,1,1,0,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,0,dissatisfied
55823,Female,disloyal Customer,Business travel,Business,49,1,0,1,0,1,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,0,dissatisfied
107792,Male,Loyal Customer,Business travel,Business,41,0,1,1,0,1,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,1,satisfied
80531,Male,Loyal Customer,Business travel,Business,43,0,1,1,0,1,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,1,satisfied
128145,Male,Loyal Customer,Business travel,Business,60,0,1,1,0,1,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,1,satisfied
63370,Female,Loyal Customer,Personal Travel,Eco,42,1,1,0,1,0,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,1,satisfied
12452,Female,Loyal Customer,Personal Travel,Eco,8,1,1,0,1,0,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,0,dissatisfied
16145,Female,Loyal Customer,Business travel,Eco,42,1,1,1,1,0,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,1,satisfied
44418,Male,disloyal Customer,Business travel,Eco Plus,18,0,0,1,0,0,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,0,dissatisfied
95746,Male,Loyal Customer,Business travel,Business,47,0,1,1,0,1,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,1,satisfied
41134,Female,disloyal Customer,Business travel,Eco,27,1,0,1,1,0,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,0,dissatisfied
3214,Female,Loyal Customer,Personal Travel,Eco Plus,67,1,1,0,0,0,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,0,dissatisfied
74101,Male,disloyal Customer,Business travel,Business,38,0,0,1,0,1,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,1,satisfied
106220,Female,disloyal Customer,Business travel,Eco,20,1,0,1,1,0,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,0,dissatisfied
88134,Female,Loyal Customer,Business travel,Business,60,1,1,1,0,1,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,1,satisfied
64475,Male,disloyal Customer,Business travel,Business,23,0,0,1,0,1,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,1,satisfied
123812,Male,disloyal Customer,Business travel,Business,25,0,0,1,0,1,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,0,dissatisfied
88893,Female,Loyal Customer,Business travel,Business,38,1,1,1,0,1,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,1,satisfied
31244,Female,Loyal Customer,Business travel,Business,40,1,1,1,0,1,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,1,satisfied
